#,,"気象データ　http://www.data.jma.go.jp/gmd/risk/obsdl/index.php　　　，2016/1/1 - 2017/12/31, 東京，最高気温[℃]，降水量合計[mm]，平均湿度[%]",,,,,,,
date,season,max_temperature,sum_rainfall,mean_humidity,icecream,eating_out,coat_man,coat_lady,skin_lotion
2016/1/1,winter,10.6,85,54.5,464,14703,272,709,291
2016/2/1,winter,12.2,57,56.2,397,12428,118,364,347
2016/3/1,spring,14.9,103,60.5,493,14506,85,342,399
2016/4/1,spring,20.3,120,66.8,617,13361,14,135,352
2016/5/1,spring,25.2,137.5,66.1,890,15311,48,58,364
2016/6/1,summer,26.3,174.5,74.9,883,12410,19,22,382
2016/7/1,summer,29.7,81.5,80.2,1292,14328,2,26,375
2016/8/1,summer,31.6,414,78.4,1387,16205,12,53,386
2016/9/1,autumn,27.7,287,85.9,843,13025,54,135,332
2016/10/1,autumn,22.6,96.5,71.5,621,13719,111,389,384
2016/11/1,autumn,15.5,139,71.2,459,13045,234,559,344
2016/12/1,winter,13.8,84,59,561,15025,267,585,417
2017/1/1,winter,10.8,26,52.6,489,14133,340,625,312
2017/2/1,winter,12.1,15.5,48.5,382,11358,105,279,321
2017/3/1,spring,13.4,85.5,60.1,472,14205,66,312,314
2017/4/1,spring,19.9,122,65.8,624,13633,26,200,352
2017/5/1,spring,25.1,49,71.8,915,15159,18,34,343
2017/6/1,summer,26.4,106.5,72.6,914,13042,1,19,387
2017/7/1,summer,31.8,81,78.4,1394,14218,1,42,403
2017/8/1,summer,30.4,141.5,82.8,1370,16656,1,76,360
2017/9/1,autumn,26.8,209.5,79.1,826,13379,11,55,329
2017/10/1,autumn,20.1,531.5,82.2,599,13245,171,451,345
2017/11/1,autumn,16.6,47,66.9,489,13852,233,598,345
2017/12/1,winter,11.1,15,56.4,573,15766,303,669,415
